Product Name,Initial Stock,Cost Per Item,Storage Cost Per Day,Stockout Penalty,Historical Demand (semicolon separated)
Device G964,375,38.37,1.95,17.43,42;30;32;44;30;48;41;12;6;10;23;12;28;28;12;30;16;50;28;42;36;11;42;20;41;37;19;24;5;17
Gadget N50,348,82.57,1.05,8.87,19;46;18;43;33;43;28;19;5;31;29;43;33;20;10;28;28;47;47;38;20;39;44;28;13;10;11;35;26;29
Tool D806,172,53.87,1.06,3.28,47;13;26;19;25;27;49;32;44;30;13;49;18;13;47;41;46;33;29;14;8;36;27;39;34;39;40;37;28;39
Device B662,363,35.47,0.45,8.86,37;25;19;45;13;23;17;24;26;26;43;28;50;32;7;13;19;30;25;28;16;22;39;37;18;46;32;46;37;28
Item R50,57,89.45,0.81,5.33,10;40;33;31;40;33;29;9;8;20;41;19;39;29;49;16;35;23;40;30;34;11;32;45;26;28;7;5;41;25
Item T718,291,19.15,0.64,14.13,41;14;33;13;22;42;12;41;28;8;9;9;23;36;41;25;11;14;17;16;33;9;23;22;45;7;16;30;36;44
Tool H811,232,85.87,0.98,15.58,39;13;36;22;18;43;39;26;6;21;38;21;29;15;45;18;29;10;31;49;10;19;12;50;5;40;38;49;33;44
Tool B747,274,14.06,0.11,14.97,21;33;13;30;37;40;49;41;19;45;32;42;17;28;33;10;32;42;5;29;46;19;11;12;6;25;37;50;24;36
Widget N449,461,71.65,1.71,18.28,24;37;35;46;49;26;31;24;46;38;9;6;31;42;8;16;10;10;24;16;25;10;20;10;17;27;5;31;44;21
Gadget B976,467,50.53,0.4,21.51,47;39;42;11;15;42;17;22;43;11;33;36;26;44;17;25;39;16;49;50;5;37;17;34;15;28;14;12;29;16
Tool B5,306,66.4,0.9,10.78,26;16;20;47;10;8;27;41;33;36;35;44;46;17;9;40;23;40;12;33;43;23;35;50;12;12;5;8;49;26
Gadget Y101,371,91.75,1.59,9.23,44;18;21;50;9;40;15;11;40;28;9;8;50;46;17;42;18;21;50;21;15;45;35;17;40;8;18;26;6;36
Gadget V577,260,33.88,1.78,11.06,27;27;26;26;50;35;9;44;23;21;21;44;13;8;18;11;28;10;22;36;44;7;16;48;21;13;39;45;12;50
Item J26,79,7.06,1.06,19.02,48;37;32;13;44;9;39;6;23;40;39;49;25;12;33;11;35;35;47;23;45;7;23;49;27;49;43;33;26;36
Tool C210,351,26.38,1.84,18.67,26;10;50;39;39;39;20;32;43;19;47;47;26;11;20;14;42;39;20;17;26;43;7;42;32;11;39;6;6;19
Item Q646,337,80.28,0.71,2.34,49;5;22;28;32;22;15;44;10;43;19;31;49;46;25;26;17;12;14;44;33;47;8;41;16;18;14;7;32;21
Device W96,419,69.12,0.97,23.89,9;38;47;34;48;12;8;38;29;42;48;41;44;46;11;32;44;16;26;29;49;29;26;19;23;39;37;35;12;48
Widget C270,267,8.23,1.53,14.85,29;11;36;15;38;25;32;21;8;22;32;36;43;32;19;21;26;35;35;16;36;42;23;16;35;41;48;12;16;45
Device T691,217,42.49,1.57,9.98,12;32;17;47;24;36;14;47;16;44;16;30;23;25;10;31;18;42;18;45;6;40;38;20;26;46;8;42;11;9
Widget B202,420,95.25,0.59,24.41,30;28;20;7;7;30;26;20;7;13;28;32;10;30;8;8;7;6;16;42;34;30;35;40;10;37;32;46;34;37
Widget H366,180,94.75,1.57,18.29,23;47;37;41;26;24;36;10;34;7;18;18;49;42;30;10;41;22;42;38;22;34;18;27;17;18;32;40;38;50
Gadget O273,484,39.2,1.44,21.64,21;35;15;26;33;47;44;23;23;33;15;42;28;15;25;42;13;6;39;29;22;46;14;5;33;20;20;7;36;13
Gadget L700,302,44.01,0.45,19.3,49;42;43;38;26;31;24;36;7;48;32;14;12;12;49;13;19;26;37;44;19;30;34;42;11;6;29;6;49;7
Gadget H692,28,69.28,1.8,8.15,31;23;30;31;5;12;10;50;49;19;25;29;37;43;28;20;6;6;33;33;19;47;33;14;15;12;47;21;42;34
Widget Z221,340,92.93,0.83,8.54,35;21;33;26;47;5;37;44;12;27;47;18;24;21;17;23;31;18;33;36;50;38;30;41;16;30;34;50;23;48
Device H79,286,78.08,1.6,9.43,11;23;18;33;14;14;15;9;26;27;30;25;22;42;25;21;21;5;28;23;7;12;45;25;19;32;49;28;19;10
Item E118,324,32.9,1.88,8.38,44;17;11;26;39;10;46;8;14;16;28;40;21;49;14;9;27;27;37;31;49;33;44;14;6;49;21;31;44;13
